KS4_GPA5_Qtg.PV,KS4_GPA5_TC_T1.PV,KS4_GPA5_Nst.PV,KS4_GPA5_Nvd.PV,KS4_GPA5_Nnd.PV,KS4_GPA5_T4.PV,KS4_GPA5_Pk.PV
50.07428536458333,50.65677132606506,500.475537109375,1207.5427734375,912.16142578125,119.5629699707031,51.24895477294922
50.07492583675808,50.65677132606506,500.3798828125,1209.19072265625,914.20302734375,119.683642578125,51.25535650253296
50.07483633646647,50.66691994667053,499.3595703125,1210.15908203125,914.92451171875,119.665576171875,51.26356964111328
50.0749573779636,50.66691994667053,500.53583984375,1210.6416015625,915.8810546875,119.6747497558594,51.26772451400757
50.07514530548096,50.66691994667053,500.19814453125,1211.3984375,916.43564453125,119.6921875,51.26482582092285
50.07521828575982,50.65677132606506,499.425732421875,1211.5310546875,916.45390625,119.5588256835938,51.26733798980713
50.07517634236654,50.66691994667053,499.964892578125,1211.941796875,916.60244140625,119.61834106445308,51.26521224975586
50.075119264662,50.677069425582886,499.51689453125,1212.2513671875,916.49072265625,119.595556640625,51.26965713500977
50.07549609063042,50.63647418022156,499.977978515625,1212.415625,917.112109375,119.5502624511719,51.26762790679932
50.07542419911702,50.65677132606506,500.453857421875,1212.99619140625,917.41357421875,119.5068725585938,51.27149295806885
50.07546159891764,50.63647418022156,500.4724609375,1213.08857421875,917.39990234375,119.4720336914063,51.27149295806885
50.07537078833686,50.65677132606506,500.40185546875,1213.01484375,917.21689453125,119.4330810546875,51.27062339782715
50.0751750273641,50.66691994667053,499.391796875,1213.03291015625,916.962890625,119.4147094726563,51.27313566207886
50.07520876966689,50.65677132606506,499.884130859375,1213.218359375,916.82529296875,119.4245361328125,51.27613115310669
50.07500505269368,50.64662275314331,499.94609375,1212.4767578125,916.303125,119.31682739257808,51.27448844909668
50.07520866126166,50.63647418022156,500.52255859375,1212.83642578125,916.4392578125,119.3180969238281,51.26683349609375
50.07513341861301,50.6263247013092,500.5943359375,1212.662109375,916.39658203125,119.2645385742188,51.27062339782715
50.075199847446015,50.6263247013092,501.129345703125,1212.9201171875,917.13203125,119.3266174316406,51.2709132194519
50.07510135894776,50.6263247013092,499.935888671875,1212.6494140625,916.284765625,119.27052001953128,51.26685495376587
50.07502812886556,50.61617612838745,499.113330078125,1212.5107421875,916.28759765625,119.2391723632813,51.27158975601196
50.07507882480198,50.63647418022156,500.07978515625,1212.864453125,916.27685546875,119.27625122070307,51.28144550323486
50.07516254191081,50.6263247013092,499.766943359375,1212.71064453125,916.4099609375,119.27496948242192,51.27477836608887
50.07509915785048,50.6263247013092,500.721142578125,1212.999609375,916.72021484375,119.2803649902344,51.27526140213013
50.075100661383736,50.677069425582886,500.09619140625,1213.5384765625,916.73173828125,119.32755737304691,51.27381200790405
50.07503160725911,50.677069425582886,499.892578125,1213.2373046875,916.541015625,119.2850952148438,51.27033348083496
50.07508428748237,50.677069425582886,500.160693359375,1213.49228515625,916.60361328125,119.3370544433594,51.2655987739563
50.0749625201416,50.677069425582886,499.71435546875,1213.52958984375,916.5611328125,119.33357543945309,51.27197618484497
50.075030419514974,50.63647418022156,500.30361328125,1213.103515625,916.26396484375,119.3227966308594,51.27555131912231
50.07506218695747,50.677069425582886,500.134326171875,1213.2560546875,916.24462890625,119.3282104492188,51.27381200790405
50.075015417175294,50.677069425582886,500.738818359375,1213.39404296875,916.18330078125,119.33673706054692,51.27400522232056
50.07513101484511,50.68721799850464,499.371630859375,1213.81962890625,916.92568359375,119.395361328125,51.27226600646973
